Кандзи,Значение,On,Kun,Номер,例,Level
型,модель; форма,ケイ,かた,796,,3
誌,журнал; запись; описание,シ,—,797,,2
燃,гореть; пылать; зажигать,ネン,も-える・も-やす,798,,2
舟,лодка,シュウ,ふね・ふな,799,,2
陸,земля; суша,リク・ロク,—,800,大陸・,3
救,спасение,キュウ,すく-う,801,,2
誤,ошибка; промах; ошибаться; вводить в заблуждение,ゴ,あやま-り・あやま-る,802,誤解・,2
勤,исполнять обязанности; служить; исполнять роль; годиться; справляться,キン ,つと-める・つと-まる,803,,2
製,изготовлять; сделано в... ,セイ,—,804,,3
険,крутой; опасный,ケン,けわ-しい,805,,3
糸,нить,シ,いと,806,,3
検,проверять; расследовать,ケン,しら-べる,807,,3
希,надежда; редкий,キ,―,808,,3
省,министерство; рефлексия; всматриваться в себя; исключать; сокращать ,セイ・ショウ,かえり-みる ・はぶ-く ,809,,3
敗,неудача,ハイ,やぶ-れる,810,,3
旧,старое; прошлое,キュウ,―,811,,2
畳,Татами,ジョウ,たたみ・たた-む,812,,2
責,ответственность; упрекать,セキ,せ-める,813,,3
耕,земледение,コウ,たがや-す,814,,2
司,управлять; ведать,シ,―,815,,
慣,привыкать; приучать,カン,な-れる・な-らす,816,,3
編,вязать; составлять,ヘン,あ-む,817,,3
査,проверять; расследовать,サ,—,818,,3
党,политическая партия,トウ,—,819,,2
除,устранять; убирать; исключать ,ジョ,のぞ-く,820,,2
踊,танцевать; плясать; танец,ヨウ ,おど-る・おど-り,821,,2
咲,цвести,ショウ,さく,822,,2
設,учреждать; устраивать; оборудовать; иметь ребёнка ,セツ,もう-ける,823,,2
歯,зуб,シ,は,824,,3
机,стол; парта ,キ,つくえ,825,,2
浴,купаться,ヨク,あ-びる,826,,3
簡,простота,カン,―,827,,2
適,надлежащий; соответствовать; подходить,テキ,かな-う,828,,3
看,watch over,,,829,,
録,запись ,ロク,,830,,3
費,расходы,ヒ,つい-やす,831,,3
栄,расцвет; величие; процветать; блистать; сверкать,エイ,さか-える・は-える,832,,3
延,растягивать; продлевать; простираться; тянуться; отсрочка платежа,エン,の-ばす ・の-びる,833,,2
球,шар,キュウ,たま,834,,3
甘,сладкий,カン,あま-い・あま-やかす,835,,2
収,доход; получать; собирать; сжимать,シュウ,おさ-める,836,,2
宝,сокровище,ホウ ,たから,837,,2
泥,грязь; слякоть ,デイ,どろ,838,,2
帽,головной убор; шляпа ,ボウ,—,839,帽子・,2
辛,острый; горький; солёный; тяжёлый,シン ,から-い・つら-い,840,,2
材,материал ,ザイ,—,841,,3
詞,Слово,シ,ことば,842,,2
規,Правило,キ,—,843,,3
拝,поклоняться; молиться,イ,おが-む,844,,2
換,обменивать; обмениваться; конвертироваться,カン,か-える ・か-わる,845,,2
律,ритм; закон; правило,リツ,りっ-する,846,,2
革,кожа; шкура; кожура; кора,カク,かわ,847,,2
盗,красть; воровать; кража; воровство,トウ,ぬすむ,848,,2
圧,давление; давить; сжимать ,アツ,—,849,,2
努,стараться; прилагать усилия,ド,つと-める,850,,3
導,вести; направлять; руководить ,ドウ,みちび-く,851,,3
